iter	Passed	Remaining
622	3734	2259
623	3737	2252
624	3741	2244
625	3745	2237
626	3751	2231
627	3755	2224
628	3759	2217
629	3766	2212
630	3770	2205
631	3774	2197
632	3780	2191
633	3785	2185
634	3789	2178
635	3793	2170
636	3798	2164
637	3803	2157
638	3807	2150
639	3813	2144
640	3818	2138
641	3821	2131
642	3825	2124
643	3831	2118
644	3835	2111
645	3839	2104
646	3846	2098
647	3850	2091
648	3854	2084
649	3858	2077
650	3864	2071
651	3868	2064
652	3871	2057
653	3878	2051
654	3883	2045
655	3886	2038
656	3891	2031
657	3896	2025
658	3900	2018
659	3904	2011
660	3910	2005
661	3915	1999
662	3921	1993
663	3930	1988
664	3935	1982
665	3940	1976
666	3945	1969
667	3949	1962
668	3952	1955
669	3958	1949
670	3964	1943
671	3967	1936
672	3971	1929
673	3977	1923
674	3981	1916
675	3984	1909
676	3990	1903
677	3995	1897
678	3999	1890
679	4003	1883
680	4010	1878
681	4014	1871
682	4017	1864
683	4024	1859
684	4029	1852
685	4033	1846
686	4037	1839
687	4042	1833
688	4048	1827
689	4052	1820
690	4059	1815
691	4063	1808
692	4066	1801
693	4073	1795
694	4077	1789
695	4081	1782
696	4085	1776
697	4090	1770
698	4094	1763
699	4098	1756
700	4102	1750
701	4107	1743
702	4111	1736
703	4116	1730
704	4124	1725
705	4132	1720
706	4140	1715
707	4145	1709
708	4149	1702
709	4156	1697
710	4161	1691
711	4165	1684
712	4171	1679
713	4175	1672
714	4179	1666
715	4183	1659
716	4188	1653
717	4192	1646
718	4196	1640
719	4202	1634
720	4207	1628
721	4211	1621
722	4215	1615
723	4220	1609
724	4224	1602
725	4228	1595
726	4233	1589
727	4238	1583
728	4241	1576
729	4245	1570
730	4252	1564
731	4257	1558
732	4261	1552
733	4266	1546
734	4271	1540
735	4277	1534
736	4283	1528
737	4289	1522
738	4294	1516
739	4300	1511
740	4306	1505
741	4309	1498
742	4313	1492
743	4320	1486
744	4324	1480
745	4328	1473
746	4334	1468
747	4338	1461
748	4342	1455
749	4347	1449
750	4352	1443
